episode,coverage,steps,success,epsilon
756,0.960000,2500,0,0.220576
757,0.970000,2500,0,0.220135
758,0.960000,2500,0,0.219695
759,0.930000,2500,0,0.219255
760,0.970000,2500,0,0.218817
761,0.900000,2500,0,0.218379
762,0.850000,2500,0,0.217942
763,0.980000,2500,0,0.217507
764,0.940000,2500,0,0.217072
765,0.960000,2500,0,0.216637
766,0.930000,2500,0,0.216204
767,0.900000,2500,0,0.215772
768,0.970000,2500,0,0.215340
769,0.950000,2500,0,0.214910
770,0.940000,2500,0,0.214480
771,0.970000,2500,0,0.214051
772,0.940000,2500,0,0.213623
773,0.940000,2500,0,0.213195
774,0.840000,2500,0,0.212769
775,0.950000,2500,0,0.212343
776,0.980000,2500,0,0.211919
777,0.970000,2500,0,0.211495
778,0.860000,2500,0,0.211072
779,0.870000,2500,0,0.210650
780,0.920000,2500,0,0.210229
781,0.970000,2500,0,0.209808
782,0.930000,2500,0,0.209388
783,0.950000,2500,0,0.208970
784,0.940000,2500,0,0.208552
785,0.930000,2500,0,0.208135
786,0.950000,2500,0,0.207718
787,0.940000,2500,0,0.207303
788,0.970000,2500,0,0.206888
789,0.960000,2500,0,0.206475
790,0.950000,2500,0,0.206062
791,0.860000,2500,0,0.205649
792,0.910000,2500,0,0.205238
793,0.960000,2500,0,0.204828
794,0.910000,2500,0,0.204418
795,0.900000,2500,0,0.204009
796,0.950000,2500,0,0.203601
797,0.940000,2500,0,0.203194
798,0.960000,2500,0,0.202788
799,0.960000,2500,0,0.202382
800,0.960000,2500,0,0.201977
801,0.940000,2500,0,0.201573
802,0.910000,2500,0,0.201170
803,0.830000,2500,0,0.200768
804,0.970000,2500,0,0.200366
805,0.900000,2500,0,0.199966
806,0.910000,2500,0,0.199566
807,0.920000,2500,0,0.199166
808,0.970000,2500,0,0.198768
809,0.960000,2500,0,0.198371
810,0.970000,2500,0,0.197974
811,0.970000,2500,0,0.197578
812,0.980000,2500,0,0.197183
813,0.960000,2500,0,0.196788
